X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths
25.7482,61.9241,1,,Finland,2020-03-18T13:13:13.000Z,61.9241,25.7482,336,10,0
20.9394,6.6111,2,,Central African Republic,2020-03-16T03:33:03.000Z,6.6111,20.9394,1,0,0
-76.0,24.25,3,,The Bahamas,2020-03-16T03:33:03.000Z,24.25,-76,1,0,0
-62.8333,17.9,4,Saint Barthelemy,France,2020-03-16T14:38:45.000Z,17.9,-62.8333,3,0,0
21.7453,41.6086,5,,North Macedonia,2020-03-18T12:33:03.000Z,41.6086,21.7453,35,1,0
121.774000000000115,12.8797,6,,Philippines,2020-03-18T10:53:02.000Z,12.8797,121.774,202,5,19
33.4299,35.1264,7,,Cyprus,2020-03-18T03:13:19.000Z,35.1264,33.4299,49,0,0
-69.9683,12.5211,8,,Aruba,2020-03-18T11:53:04.000Z,12.5211,-69.9683,4,0,0
84.124,28.3949,9,,Nepal,2020-03-13T22:22:03.000Z,28.3949,84.124,1,1,0
-89.678696,32.741646,10,Mississippi,US,2020-03-18T19:33:03.000Z,32.741646,-89.678696,34,0,0
46.1996,5.1521,11,,Somalia,2020-03-18T00:53:03.000Z,5.1521,46.1996,1,0,0
117.226363790000036,31.825712051000039,12,Anhui,China,2020-03-11T02:18:14.000Z,31.8257120511073,117.226363790413,990,984,6
-84.670067,37.66814,13,Kentucky,US,2020-03-18T14:13:56.000Z,37.66814,-84.670067,27,0,1
-117.055374,38.313515,14,Nevada,US,2020-03-18T19:14:34.000Z,38.313515,-117.055374,55,0,1
-96.928917,35.565342,15,Oklahoma,US,2020-03-17T17:53:03.000Z,35.565342,-96.928917,19,0,0
42.5903,11.8251,16,,Djibouti,2020-03-18T12:33:03.000Z,11.8251,42.5903,1,0,0
21.8243,39.0742,17,,Greece,2020-03-18T16:59:34.000Z,39.0742,21.8243,418,8,5
18.4904,-22.9576,18,,Namibia,2020-03-14T16:33:03.000Z,-22.9576,18.4904,2,0,0
-86.2419,15.2,19,,Honduras,2020-03-18T11:53:04.000Z,15.2,-86.2419,9,0,0
-66.5897,6.4238,20,,Venezuela,2020-03-18T11:33:04.000Z,6.4238,-66.5897,36,0,0
9.5375,33.8869,21,,Tunisia,2020-03-18T12:33:03.000Z,33.8869,9.5375,29,0,0
90.3563,23.685,22,,Bangladesh,2020-03-18T11:33:04.000Z,23.685,90.3563,14,3,1
-59.5432,13.1939,23,,Barbados,2020-03-18T06:33:07.000Z,13.1939,-59.5432,2,0,0
-62.1874,16.7425,24,Montserrat,United Kingdom,2020-03-18T11:53:04.000Z,16.7425,-62.1874,1,0,0
-71.530106,42.230171,25,Massachusetts,US,2020-03-18T14:13:56.000Z,42.230171,-71.530106,218,0,0
-74.2973,4.5709,26,,Colombia,2020-03-18T14:53:05.000Z,4.5709,-74.2973,93,1,0
55.492,-4.6796,27,,Seychelles,2020-03-17T12:33:06.000Z,-4.6796,55.492,4,0,0
74.7661,41.2044,28,,Kyrgyzstan,2020-03-18T11:53:04.000Z,41.2044,74.7661,3,0,0
53.8478,23.4241,29,,United Arab Emirates,2020-03-18T02:33:06.000Z,23.4241,53.8478,113,26,0
34.8888,-6.369,30,,Tanzania,2020-03-18T11:33:04.000Z,-6.369,34.8888,3,0,0
-97.563461,31.054487,31,Texas,US,2020-03-18T19:14:34.000Z,31.054487,-97.563461,166,0,3
-80.7821,8.538,32,,Panama,2020-03-18T10:53:02.000Z,8.538,-80.7821,86,0,1
-77.209755,40.590752,33,Pennsylvania,US,2020-03-18T19:14:34.000Z,40.590752,-77.209755,152,0,0
100.9925,15.87,34,,Thailand,2020-03-18T10:53:02.000Z,15.87,100.9925,212,42,1
-83.643074,33.040619,35,Georgia,US,2020-03-18T19:14:34.000Z,33.040619,-83.643074,199,0,3
108.2772,14.0583,36,,Vietnam,2020-03-18T15:33:15.000Z,14.0583,108.2772,75,16,0
-9.6966,9.9456,37,,Guinea,2020-03-15T06:41:54.000Z,9.9456,-9.6966,1,0,0
-66.5901,18.2208,38,Puerto Rico,US,2020-03-16T00:22:11.000Z,18.2208,-66.5901,5,0,0
31.1656,48.3794,39,,Ukraine,2020-03-17T19:33:02.000Z,48.3794,31.1656,14,0,2
-157.498337,21.094318,40,Hawaii,US,2020-03-18T05:53:25.000Z,21.094318,-157.498337,14,0,0
-3.7492,40.4637,41,,Spain,2020-03-18T13:13:13.000Z,40.4637,-3.7492,13910,1081,623
-5.5471,7.54,42,,Cote d'Ivoire,2020-03-18T11:33:04.000Z,7.54,-5.5471,6,1,0
12.5674,41.8719,43,,Italy,2020-03-18T17:33:05.000Z,41.8719,12.5674,35713,4025,2978
-2.364351,49.372284,44,Channel Islands,United Kingdom,2020-03-16T14:38:45.000Z,49.372284,-2.364351,6,0,0
31.4659,-26.5225,45,,Eswatini,2020-03-15T06:41:54.000Z,-26.5225,31.4659,1,0,0
130.845600000000104,-12.4634,46,Northern Territory,Australia,2020-03-14T01:53:03.000Z,-12.4634,130.8456,1,0,0
113.944789458000059,44.093500991000042,47,Inner Mongolia,China,2020-03-16T14:38:45.000Z,44.0935009913267,113.944789458154,75,73,1
-122.665479,37.64894,48,Grand Princess,Canada,2020-03-18T11:53:04.000Z,37.64894,-122.665479,9,0,0
-106.248482,34.840515,49,New Mexico,US,2020-03-17T23:13:10.000Z,34.840515,-106.248482,23,0,0
15.8277,-0.228,50,,Congo (Brazzaville),2020-03-16T14:38:45.000Z,-0.228,15.8277,1,0,0
-63.6167,-38.4161,51,,Argentina,2020-03-18T03:33:03.000Z,-38.4161,-63.6167,79,3,2
-70.1627,18.7357,52,,Dominican Republic,2020-03-17T08:13:22.000Z,18.7357,-70.1627,21,0,1
17.6791,43.9159,53,,Bosnia and Herzegovina,2020-03-18T12:13:09.000Z,43.9159,17.6791,38,2,0
19.699,48.669,54,,Slovakia,2020-03-18T14:13:14.000Z,48.669,19.699,105,0,1
22.9375,-30.5595,55,,South Africa,2020-03-18T10:53:02.000Z,-30.5595,22.9375,116,0,0
-111.862434,40.150032,56,Utah,US,2020-03-17T20:53:02.000Z,40.150032,-111.862434,51,0,0
101.9758,4.2105,57,,Malaysia,2020-03-18T10:33:04.000Z,4.2105,101.9758,790,60,2
139.664900000000102,35.4498,58,Diamond Princess,Cruise Ship,2020-03-18T10:33:04.000Z,35.4498,139.6649,712,325,7
118.149838795000036,36.342671479000046,59,Shandong,China,2020-03-17T00:33:02.000Z,36.3426714789712,118.149838795037,761,746,7
-7.0926,31.7917,60,,Morocco,2020-03-18T11:33:04.000Z,31.7917,-7.0926,49,1,2
45.1662,-12.8275,61,,Mayotte,2020-03-18T02:53:03.000Z,-12.8275,45.1662,3,0,0
-58.4438,-23.4425,62,,Paraguay,2020-03-18T11:53:04.000Z,-23.4425,-58.4438,11,0,0
66.9237,48.0196,63,,Kazakhstan,2020-03-18T11:33:04.000Z,48.0196,66.9237,35,0,0
24.9668,45.9432,64,,Romania,2020-03-18T16:59:34.000Z,45.9432,24.9668,260,19,0
-80.954453,38.491226,65,West Virginia,US,2020-03-17T23:33:02.000Z,38.491226,-80.954453,1,0,0
144.9631,-37.8136,66,Victoria,Australia,2020-03-18T12:13:09.000Z,-37.8136,144.9631,121,8,0
-98.8139,53.7609,67,Manitoba,Canada,2020-03-18T03:33:03.000Z,53.7609,-98.8139,15,0,0
-80.945007,33.856892,68,South Carolina,US,2020-03-17T23:13:10.000Z,33.856892,-80.945007,47,0,1
109.745335576000059,19.19586391200005,69,Hainan,China,2020-03-16T14:38:45.000Z,19.1958639124575,109.745335576195,168,161,6
119.455010310000034,32.971098085000051,70,Jiangsu,China,2020-03-15T01:53:02.000Z,32.9710980851278,119.45501030983,631,631,0
0.8248,8.6195,71,,Togo,2020-03-13T22:22:02.000Z,8.6195,0.8248,1,0,0
-78.1834,-1.8312,72,,Ecuador,2020-03-18T03:13:19.000Z,-1.8312,-78.1834,111,0,2
-93.210526,42.011539,73,Iowa,US,2020-03-18T05:53:25.000Z,42.011539,-93.210526,29,0,0
105.3188,61.524,74,,Russia,2020-03-18T12:33:02.000Z,61.524,105.3188,147,8,0
-60.9789,13.9094,75,,Saint Lucia,2020-03-17T04:32:19.000Z,13.9094,-60.9789,2,0,0
11.6094,-0.8037,76,,Gabon,2020-03-14T13:33:04.000Z,-0.8037,11.6094,1,0,0
-78.169968,37.769337,77,Virginia,US,2020-03-17T20:13:22.000Z,37.769337,-78.169968,67,0,2
127.761544149000073,47.861996226000031,78,Heilongjiang,China,2020-03-18T11:53:03.000Z,47.8619962256745,127.761544149451,482,459,13
80.7718,7.8731,79,,Sri Lanka,2020-03-18T13:13:13.000Z,7.8731,80.7718,51,1,0
85.24010243500004,41.112851342000056,80,Xinjiang,China,2020-03-11T02:18:14.000Z,41.1128513419168,85.240102435218,76,73,3
9.5018,56.2639,81,Denmark,Denmark,2020-03-18T16:59:35.000Z,56.2639,9.5018,1057,1,4
-63.4168,46.5107,82,Prince Edward Island,Canada,2020-03-15T02:13:21.000Z,46.5107,-63.4168,1,0,0
43.6793,33.2232,83,,Iraq,2020-03-18T12:33:02.000Z,33.2232,43.6793,164,43,12
21.7587,-4.0383,84,,Congo (Kinshasa),2020-03-18T11:33:04.000Z,-4.0383,21.7587,4,0,0
45.0792,23.8859,85,,Saudi Arabia,2020-03-17T17:53:03.000Z,23.8859,45.0792,171,6,0
-72.755371,41.597782,86,Connecticut,US,2020-03-17T23:13:10.000Z,41.597782,-72.755371,68,0,0
-77.026817,38.897438,87,District of Columbia,US,2020-03-18T05:53:25.000Z,38.897438,-77.026817,31,0,0
18.6435,60.1282,88,,Sweden,2020-03-18T17:53:02.000Z,60.1282,18.6435,1279,1,10
36.2384,30.5852,89,,Jordan,2020-03-18T14:53:05.000Z,30.5852,36.2384,52,1,0
-88.986137,40.349457,90,Illinois,US,2020-03-18T19:14:34.000Z,40.349457,-88.986137,162,0,1
-89.616508,44.268543,91,Wisconsin,US,2020-03-18T19:14:34.000Z,44.268543,-89.616508,92,0,0
-3.436,55.3781,92,United Kingdom,United Kingdom,2020-03-18T14:53:05.000Z,55.3781,-3.436,2626,65,71
34.8516,31.0461,93,,Israel,2020-03-18T14:33:15.000Z,31.0461,34.8516,433,11,0
-92.373123,34.969704,94,Arkansas,US,2020-03-18T19:33:03.000Z,34.969704,-92.373123,33,0,0
-63.5887,-16.2902,95,,Bolivia,2020-03-18T11:53:04.000Z,-16.2902,-63.5887,12,0,0
-121.490494,47.400902,96,Washington,US,2020-03-18T14:13:56.000Z,47.400902,-121.490494,1014,0,55
51.1839,25.3548,97,,Qatar,2020-03-18T19:14:29.000Z,25.3548,51.1839,452,4,0
-106.4509,52.9399,98,Saskatchewan,Canada,2020-03-18T11:53:04.000Z,52.9399,-106.4509,8,0,0
-15.3101,13.4432,99,,"Gambia, The",2020-03-18T14:13:56.000Z,13.4432,-15.3101,1,0,0
113.9213,-0.7893,100,,Indonesia,2020-03-18T10:53:02.000Z,-0.7893,113.9213,227,11,19
-73.5491,52.9399,101,Quebec,Canada,2020-03-18T17:53:03.000Z,52.9399,-73.5491,94,0,0
-114.478828,44.240459,102,Idaho,US,2020-03-18T05:53:25.000Z,44.240459,-114.478828,9,0,0
126.192329764000078,43.666102140000078,103,Jilin,China,2020-03-16T00:22:10.000Z,43.6661021395126,126.192329763813,93,92,1
1.6596,28.0339,104,,Algeria,2020-03-18T19:14:33.000Z,28.0339,1.6596,72,12,6
-127.6476,53.7267,105,British Columbia,Canada,2020-03-18T03:33:03.000Z,53.7267,-127.6476,186,4,7
-69.381927,44.693947,106,Maine,US,2020-03-18T19:33:03.000Z,44.693947,-69.381927,42,0,0
5.2913,52.1326,107,Netherlands,Netherlands,2020-03-18T13:13:15.000Z,52.1326,5.2913,2051,2,58
113.613964116000034,33.882006147000027,108,Henan,China,2020-03-14T09:53:08.000Z,33.8820061472366,113.613964115943,1273,1250,22
-76.802101,39.063946,109,Maryland,US,2020-03-18T19:14:34.000Z,39.063946,-76.802101,85,0,0
8.2275,46.8182,110,,Switzerland,2020-03-18T14:53:05.000Z,46.8182,8.2275,3028,15,28
-99.784012,47.528912,111,North Dakota,US,2020-03-18T19:33:03.000Z,47.528912,-99.784012,6,0,0
138.6007,-34.9285,112,South Australia,Australia,2020-03-18T11:53:04.000Z,-34.9285,138.6007,37,3,0
-64.8963,18.3358,113,Virgin Islands,US,2020-03-17T20:53:02.000Z,18.3358,-64.8963,2,0,0
-81.2546,19.3133,114,Cayman Islands,United Kingdom,2020-03-16T14:53:04.000Z,19.3133,-81.2546,1,0,1
121.449111849000019,31.201985369000056,115,Shanghai,China,2020-03-18T05:53:25.000Z,31.2019853691089,121.449111848821,361,326,3
-90.2308,15.7835,116,,Guatemala,2020-03-17T12:13:16.000Z,15.7835,-90.2308,6,0,1
-110.454353,46.921925,117,Montana,US,2020-03-18T19:33:03.000Z,46.921925,-110.454353,11,0,0
115.722093542000039,27.614008271000049,118,Jiangxi,China,2020-03-12T02:13:04.000Z,27.614008270636,115.722093542185,935,934,1
67.71,33.9391,119,,Afghanistan,2020-03-17T11:53:10.000Z,33.9391,67.71,22,1,0
1.5218,42.5063,120,,Andorra,2020-03-17T20:53:02.000Z,42.5063,1.5218,39,1,0
88.09243189700004,31.692716537000024,121,Tibet,China,2020-03-11T02:18:14.000Z,31.6927165373017,88.0924318966888,1,1,0
138.2529,36.2048,122,,Japan,2020-03-18T12:33:02.000Z,36.2048,138.2529,889,144,29
53.688,32.4279,123,,Iran,2020-03-18T12:33:02.000Z,32.4279,53.688,17361,5389,1135
10.2679,1.6508,124,,Equatorial Guinea,2020-03-18T14:33:15.000Z,1.6508,10.2679,4,0,0
-122.070938,44.572021,125,Oregon,US,2020-03-18T13:53:03.000Z,44.572021,-122.070938,68,0,2
117.322972903000036,39.305361212000037,126,Tianjin,China,2020-03-15T18:20:18.000Z,39.3053612117002,117.322972903268,136,133,3
-111.431221,33.729759,127,Arizona,US,2020-03-18T19:33:03.000Z,33.729759,-111.431221,27,0,0
-6.9118,61.8926,128,Faroe Islands,Denmark,2020-03-18T16:59:35.000Z,61.8926,-6.9118,58,0,0
113.424401711000087,23.341733709000039,129,Guangdong,China,2020-03-18T08:53:03.000Z,23.3417337092088,113.424401710676,1370,1313,8
-19.0208,64.9631,130,,Iceland,2020-03-18T12:33:02.000Z,64.9631,-19.0208,250,5,1
112.292191182,37.577684957000031,131,Shanxi,China,2020-03-13T11:09:03.000Z,37.5776849568384,112.292191181538,133,133,0
-51.9253,-14.235,132,,Brazil,2020-03-18T19:14:29.000Z,-14.235,-51.9253,372,2,3
15.473,49.8175,133,,Czechia,2020-03-18T10:33:04.000Z,49.8175,15.473,464,3,0
