X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths
106.165455205000058,37.269227435000062,134,Ningxia,China,2020-03-16T14:38:45.000Z,37.2692274353319,106.165455205247,75,75,0
14.9955,46.1512,135,,Slovenia,2020-03-17T16:53:04.000Z,46.1512,14.9955,275,0,1
-57.6604,53.1355,136,Newfoundland and Labrador,Canada,2020-03-17T17:53:03.000Z,53.1355,-57.6604,3,0,0
-75.507141,39.318523,137,Delaware,US,2020-03-18T19:33:03.000Z,39.318523,-75.507141,19,0,0
40.4897,9.145,138,,Ethiopia,2020-03-18T11:33:04.000Z,9.145,40.4897,6,0,0
145.9707,-41.4545,139,Tasmania,Australia,2020-03-18T11:53:04.000Z,-41.4545,145.9707,10,0,0
19.1451,51.9194,140,,Poland,2020-03-18T13:33:12.000Z,51.9194,19.1451,251,13,5
14.5501,47.5162,141,,Austria,2020-03-18T14:53:05.000Z,47.5162,14.5501,1646,9,4
151.2093,-33.8688,142,New South Wales,Australia,2020-03-18T12:13:09.000Z,-33.8688,151.2093,267,4,5
-66.4619,46.5653,143,New Brunswick,Canada,2020-03-18T18:33:03.000Z,46.5653,-66.4619,11,0,0
28.2833,-15.4167,144,,Zambia,2020-03-18T14:33:15.000Z,-15.4167,28.2833,2,0,0
-77.2975,18.1096,145,,Jamaica,2020-03-18T11:53:04.000Z,18.1096,-77.2975,13,2,0
114.7277,4.5353,146,,Brunei,2020-03-18T11:13:43.000Z,4.5353,114.7277,68,0,0
-92.288368,38.456085,147,Missouri,US,2020-03-18T19:33:03.000Z,38.456085,-92.288368,18,0,0
114.5149,38.0428,148,Hebei,China,2020-03-13T11:09:03.000Z,38.0428,114.5149,318,310,6
-68.99,12.1696,149,Curacao,Netherlands,2020-03-17T12:33:07.000Z,12.1696,-68.99,3,0,0
149.0124,-35.4735,150,Australian Capital Territory,Australia,2020-03-18T11:53:04.000Z,-35.4735,149.0124,3,0,0
95.995578471000044,35.745203180000033,151,Qinghai,China,2020-03-11T02:18:14.000Z,35.7452031801411,95.9955784711286,18,18,0
25.4858,42.7339,152,,Bulgaria,2020-03-18T15:33:15.000Z,42.7339,25.4858,92,0,2
114.2,22.3,153,Hong Kong,China,2020-03-18T09:33:05.000Z,22.3,114.2,181,92,4
47.5769,40.1431,154,,Azerbaijan,2020-03-17T11:53:10.000Z,40.1431,47.5769,28,6,1
21.0059,44.0165,155,,Serbia,2020-03-18T10:53:02.000Z,44.0165,21.0059,83,1,0
78.9629,20.5937,156,,India,2020-03-18T13:33:12.000Z,20.5937,78.9629,156,14,3
69.3451,30.3753,157,,Pakistan,2020-03-18T19:14:29.000Z,30.3753,69.3451,299,2,0
20.903,42.6026,158,,Kosovo,2020-03-15T18:20:19.000Z,42.6026,20.903,2,0,0
30.2176,12.8628,159,,Sudan,2020-03-18T12:13:09.000Z,12.8628,30.2176,2,0,1
115.860500000000116,-31.9505,160,Western Australia,Australia,2020-03-18T12:13:10.000Z,-31.9505,115.8605,35,0,1
-77.7812,21.5218,161,,Cuba,2020-03-18T16:59:35.000Z,21.5218,-77.7812,7,0,1
2.2137,46.2276,162,France,France,2020-03-18T18:33:02.000Z,46.2276,2.2137,9043,12,148
28.3699,47.4116,163,,Moldova,2020-03-18T11:33:04.000Z,47.4116,28.3699,30,1,1
108.788127225000039,23.829840357000023,164,Guangxi,China,2020-03-18T00:33:02.000Z,23.8298403568635,108.78812722508,253,250,2
-96.726486,38.5266,165,Kansas,US,2020-03-17T23:13:10.000Z,38.5266,-96.726486,18,0,1
122.608541864000017,41.295647864000046,166,Liaoning,China,2020-03-18T02:13:06.000Z,41.2956478642686,122.60854186375,125,122,1
-63.0501,18.0708,167,St Martin,France,2020-03-18T10:13:16.000Z,18.0708,-63.0501,3,0,0
-42.6043,71.7069,168,,Greenland,2020-03-16T16:53:06.000Z,71.7069,-42.6043,1,0,0
35.2433,38.9637,169,,Turkey,2020-03-18T02:33:06.000Z,38.9637,35.2433,98,0,1
14.3754,35.9375,170,,Malta,2020-03-17T15:53:12.000Z,35.9375,14.3754,38,2,0
-71.51178,41.680893,171,Rhode Island,US,2020-03-18T19:33:03.000Z,41.680893,-71.51178,33,0,0
102.710322086000076,30.617138390000036,172,Sichuan,China,2020-03-18T02:13:05.000Z,30.6171383897493,102.710322085654,540,525,3
55.5364,-21.1151,173,,Reunion,2020-03-18T11:53:04.000Z,-21.1151,55.5364,12,0,0
37.9062,-0.0236,174,,Kenya,2020-03-16T00:22:11.000Z,-0.0236,37.9062,3,0,0
108.870143735000056,35.191653306000035,175,Shaanxi,China,2020-03-18T03:53:02.000Z,35.1916533064219,108.870143735105,246,237,3
-8.2245,39.3999,176,,Portugal,2020-03-18T12:33:02.000Z,39.3999,-8.2245,448,3,2
-86.258278,39.849426,177,Indiana,US,2020-03-18T19:33:03.000Z,39.849426,-86.258278,39,0,2
-99.438828,44.299782,178,South Dakota,US,2020-03-17T23:33:02.000Z,44.299782,-99.438828,11,0,1
-74.521011,40.298904,179,New Jersey,US,2020-03-18T14:13:56.000Z,40.298904,-74.521011,267,0,3
20.1683,41.1533,180,,Albania,2020-03-18T12:33:03.000Z,41.1533,20.1683,59,0,2
-63.7443,44.682,181,Nova Scotia,Canada,2020-03-18T17:53:03.000Z,44.682,-63.7443,12,0,0
-83.7534,9.7489,182,,Costa Rica,2020-03-18T03:33:03.000Z,9.7489,-83.7534,50,0,0
9.5554,47.166,183,,Liechtenstein,2020-03-18T19:14:33.000Z,47.166,9.5554,28,0,0
-81.686783,27.766279,184,Florida,US,2020-03-18T19:14:34.000Z,27.766279,-81.686783,314,0,7
-71.543,-35.6751,185,,Chile,2020-03-18T13:33:12.000Z,-35.6751,-71.543,238,0,0
-95.7129,37.0902,186,US,US,2020-03-18T19:33:03.000Z,37.0902,-95.7129,1,106,0
104.991,12.5657,187,,Cambodia,2020-03-18T11:33:04.000Z,12.5657,104.991,35,1,0
103.8343,36.0611,188,Gansu,China,2020-03-15T18:20:18.000Z,36.0611,103.8343,133,91,2
-75.0152,-9.19,189,,Peru,2020-03-18T16:59:34.000Z,-9.19,-75.0152,145,1,0
-7.6921,53.1424,190,,Ireland,2020-03-18T03:13:12.000Z,53.1424,-7.6921,292,5,2
30.8025,26.8206,191,,Egypt,2020-03-18T03:13:14.000Z,26.8206,30.8025,196,32,6
-9.4295,6.4281,192,,Liberia,2020-03-18T03:13:22.000Z,6.4281,-9.4295,2,0,0
-1.5616,12.2383,193,,Burkina Faso,2020-03-18T12:33:03.000Z,12.2383,-1.5616,20,0,1
-70.0358,12.5186,194,Aruba,Netherlands,2020-03-18T00:53:02.000Z,12.5186,-70.0358,2,0,0
-102.5528,23.6345,195,,Mexico,2020-03-18T10:53:02.000Z,23.6345,-102.5528,93,4,0
120.093412775000047,29.183189280000079,196,Zhejiang,China,2020-03-17T02:13:21.000Z,29.1831892798285,120.093412774886,1232,1216,1
29.8739,-1.9403,197,,Rwanda,2020-03-18T11:33:04.000Z,-1.9403,29.8739,8,0,0
15.2,45.1,198,,Croatia,2020-03-18T11:13:43.000Z,45.1,15.2,81,4,0
2.3158,9.3077,199,,Benin,2020-03-18T14:13:56.000Z,9.3077,2.3158,2,0,0
113.55,22.166667,200,Macau,China,2020-03-18T10:33:04.000Z,22.166667,113.55,15,10,0
107.873985832000074,30.057175875000041,201,Chongqing,China,2020-03-15T03:53:04.000Z,30.0571758751839,107.87398583171,576,570,6
112.270692167000121,30.97564034800007,202,Hubei,China,2020-03-18T12:13:09.000Z,30.9756403482891,112.270692167452,67800,56927,3122
-71.563896,43.452492,203,New Hampshire,US,2020-03-17T23:13:10.000Z,43.452492,-71.563896,26,0,0
153.4,-28.0167,204,Queensland,Australia,2020-03-18T11:53:04.000Z,-28.0167,153.4,94,8,0
25.0136,58.5953,205,,Estonia,2020-03-18T10:33:04.000Z,58.5953,25.0136,258,1,0
-98.268082,41.12537,206,Nebraska,US,2020-03-18T13:53:03.000Z,41.12537,-98.268082,24,0,0
19.3,42.5,207,,Montenegro,2020-03-17T21:33:02.000Z,42.5,19.3,2,0,0
90.4336,27.5142,208,,Bhutan,2020-03-13T22:22:02.000Z,27.5142,90.4336,1,0,0
-149.4068,-17.6797,209,French Polynesia,France,2020-03-15T18:20:19.000Z,-17.6797,-149.4068,3,0,0
-61.0242,14.6415,210,,Martinique,2020-03-18T10:13:16.000Z,14.6415,-61.0242,19,0,1
117.987371739000082,26.078865835000045,211,Fujian,China,2020-03-11T02:18:14.000Z,26.0788658351203,117.987371739429,296,295,1
-58.9302,4.8604,212,,Guyana,2020-03-17T10:53:03.000Z,4.8604,-58.9302,7,0,1
27.9534,53.7098,213,,Belarus,2020-03-18T11:33:04.000Z,53.7098,27.9534,51,5,0
-64.933,18.35,214,United States Virgin Islands,US,2020-03-18T00:13:13.000Z,18.35,-64.933,2,0,0
-91.867805,31.169546,215,Louisiana,US,2020-03-18T19:33:03.000Z,31.169546,-91.867805,257,0,4
-5.3536,36.1408,216,Gibraltar,United Kingdom,2020-03-18T14:13:42.000Z,36.1408,-5.3536,8,2,0
-79.806419,35.630066,217,North Carolina,US,2020-03-18T19:14:34.000Z,35.630066,-79.806419,70,0,0
23.8813,55.1694,218,,Lithuania,2020-03-18T11:33:04.000Z,55.1694,23.8813,27,1,0
55.9754,21.4735,219,,Oman,2020-03-18T19:33:02.000Z,21.4735,55.9754,39,12,0
116.414172957,40.182380932000058,220,Beijing,China,2020-03-18T05:33:05.000Z,40.1823809324133,116.414172956705,469,378,8
50.5577,26.0667,221,,Bahrain,2020-03-18T12:33:02.000Z,26.0667,50.5577,256,88,1
-14.4524,14.4974,222,,Senegal,2020-03-18T11:33:04.000Z,14.4974,-14.4524,31,2,0
-72.710686,44.045876,223,Vermont,US,2020-03-18T19:33:03.000Z,44.045876,-72.710686,18,0,0
-61.7964,17.0608,224,,Antigua and Barbuda,2020-03-15T18:20:19.000Z,17.0608,-61.7964,1,0,0
11.5021,3.848,225,,Cameroon,2020-03-17T15:53:13.000Z,3.848,11.5021,10,0,0
6.1296,49.8153,226,,Luxembourg,2020-03-18T10:53:02.000Z,49.8153,6.1296,203,0,2
-74.948051,42.165726,227,New York,US,2020-03-18T19:33:03.000Z,42.165726,-74.948051,2495,0,16
-61.2872,12.9843,228,,Saint Vincent and the Grenadines,2020-03-14T16:33:03.000Z,12.9843,-61.2872,1,0,0
-122.665479,37.64894,229,Grand Princess,US,2020-03-17T20:53:02.000Z,37.64894,-122.665479,21,0,0
-84.536095,43.326618,230,Michigan,US,2020-03-18T19:14:34.000Z,43.326618,-84.536095,83,0,0
7.4246,43.7384,231,,Monaco,2020-03-16T14:38:45.000Z,43.7384,7.4246,7,0,0
-116.5765,53.9333,232,Alberta,Canada,2020-03-18T03:33:03.000Z,53.9333,-116.5765,97,0,0
-86.9023,32.3182,233,Alabama,US,2020-03-18T19:33:03.000Z,32.3182,-86.9023,46,0,0
106.87478378200008,26.815361025000072,234,Guizhou,China,2020-03-18T01:53:03.000Z,26.8153610246946,106.874783781561,146,144,2
47.4818,29.3117,235,,Kuwait,2020-03-18T10:53:02.000Z,29.3117,47.4818,142,15,0
45.0382,40.0691,236,,Armenia,2020-03-18T10:53:02.000Z,40.0691,45.0382,84,1,0
144.7937,13.4443,237,Guam,US,2020-03-18T05:53:25.000Z,13.4443,144.7937,5,0,0
139.638,35.4437,238,Diamond Princess,US,2020-03-16T16:53:06.000Z,35.4437,139.638,47,0,0
-10.9408,21.0079,239,,Mauritania,2020-03-15T18:20:19.000Z,21.0079,-10.9408,1,0,0
103.8467,46.8625,240,,Mongolia,2020-03-18T11:53:04.000Z,46.8625,103.8467,6,0,0
-152.404419,61.370716,241,Alaska,US,2020-03-18T05:53:25.000Z,61.370716,-152.404419,6,0,0
-61.2225,10.6918,242,,Trinidad and Tobago,2020-03-18T11:53:04.000Z,10.6918,-61.2225,7,0,0
101.486994478000042,24.974009052000039,243,Yunnan,China,2020-03-16T23:53:02.000Z,24.9740090515417,101.486994477533,176,172,2
43.3569,42.3154,244,,Georgia,2020-03-18T11:33:04.000Z,42.3154,43.3569,38,1,0
19.5033,47.1625,245,,Hungary,2020-03-18T11:13:43.000Z,47.1625,19.5033,58,2,1
-53.1258,3.9339,246,,French Guiana,2020-03-16T14:38:46.000Z,3.9339,-53.1258,11,0,0
111.708835644000075,27.610407290000069,247,Hunan,China,2020-03-14T08:33:03.000Z,27.6104072903766,111.708835644484,1018,1014,4
103.8198,1.3521,248,,Singapore,2020-03-18T13:33:12.000Z,1.3521,103.8198,313,114,0
12.4578,43.9424,249,,San Marino,2020-03-18T02:53:03.000Z,43.9424,12.4578,119,4,11
12.4534,41.9029,250,,Holy See,2020-03-13T22:22:02.000Z,41.9029,12.4534,1,0,0
-119.681564,36.116203,251,California,US,2020-03-18T19:14:34.000Z,36.116203,-119.681564,751,0,13
-55.7658,-32.5228,252,,Uruguay,2020-03-18T11:33:04.000Z,-32.5228,-55.7658,50,0,0
4.4699,50.5039,253,,Belgium,2020-03-18T12:33:02.000Z,50.5039,4.4699,1486,31,14
24.6032,56.8796,254,,Latvia,2020-03-18T11:13:43.000Z,56.8796,24.6032,71,1,0
-1.0232,7.9465,255,,Ghana,2020-03-17T19:33:02.000Z,7.9465,-1.0232,7,0,0
127.7669,35.9078,256,,"Korea, South",2020-03-18T02:53:03.000Z,35.9078,127.7669,8413,1540,84
-105.311104,39.059811,257,Colorado,US,2020-03-18T15:53:09.000Z,39.059811,-105.311104,184,0,2
-86.692345,35.747845,258,Tennessee,US,2020-03-18T19:14:34.000Z,35.747845,-86.692345,79,0,0
73.2207,3.2028,259,,Maldives,2020-03-15T18:20:18.000Z,3.2028,73.2207,13,0,0
174.886,-40.9006,260,,New Zealand,2020-03-18T02:53:03.000Z,-40.9006,174.886,20,0,0
-85.3232,51.2538,261,Ontario,Canada,2020-03-18T17:33:06.000Z,51.2538,-85.3232,221,5,1
8.4689,60.472,262,,Norway,2020-03-18T15:53:09.000Z,60.472,8.4689,1550,1,6
-61.551,16.265,263,,Guadeloupe,2020-03-18T10:13:16.000Z,16.265,-61.551,27,0,0
64.5853,41.3775,264,,Uzbekistan,2020-03-18T12:13:09.000Z,41.3775,64.5853,15,0,0
10.4515,51.1657,265,,Germany,2020-03-18T19:33:02.000Z,51.1657,10.4515,12327,105,28
121.000000000000114,23.7,266,,Taiwan*,2020-03-18T07:13:12.000Z,23.7,121,100,22,1
-56.0278,3.9193,267,,Suriname,2020-03-14T16:33:03.000Z,3.9193,-56.0278,1,0,0
-107.30249,42.755966,268,Wyoming,US,2020-03-18T13:53:03.000Z,42.755966,-107.30249,15,0,0
-82.764915,40.388783,269,Ohio,US,2020-03-18T19:14:34.000Z,40.388783,-82.764915,86,0,0
-93.900192,45.694454,270,Minnesota,US,2020-03-18T19:14:34.000Z,45.694454,-93.900192,77,0,0
8.6753,9.082,271,,Nigeria,2020-03-18T12:33:03.000Z,9.082,8.6753,8,1,0
35.8623,33.8547,272,,Lebanon,2020-03-18T10:53:02.000Z,33.8547,35.8623,133,3,3
